StartDate,EndDate,InflationRate,FederalInt,MonthID,Month_Abs
1/1/21,1/31/21,1.4,0.09,1,1
2/1/21,2/28/21,1.68,0.08,2,2
3/1/21,3/31/21,2.62,0.07,3,3
4/1/21,4/30/21,4.16,0.07,4,4
5/1/21,5/31/21,4.99,0.06,5,5
6/1/21,6/30/21,5.39,0.08,6,6
7/1/21,7/31/21,5.37,0.1,7,7
8/1/21,8/31/21,5.25,0.09,8,8
9/1/21,9/30/21,5.39,0.08,9,9
10/1/21,10/31/21,6.22,0.08,10,10
11/1/21,11/30/21,6.81,0.08,11,11
12/1/21,12/31/21,7.04,0.08,12,12
1/1/22,1/31/22,7.48,0.08,1,13
2/1/22,2/28/22,7.87,0.08,2,14
3/1/22,3/31/22,8.54,0.2,3,15
4/1/22,4/30/22,8.26,0.33,4,16
5/1/22,5/31/22,8.58,0.77,5,17
6/1/22,6/30/22,9.06,1.21,6,18
7/1/22,7/31/22,8.52,1.68,7,19
8/1/22,8/31/22,8.26,2.33,8,20
9/1/22,9/30/22,8.2,2.56,9,21
10/1/22,10/31/22,7.75,3.08,10,22
11/1/22,11/30/22,7.11,3.78,11,23
12/1/22,12/31/22,6.45,4.1,12,24
1/1/23,1/31/23,6.41,4.33,1,25
2/1/23,2/28/23,6.04,4.57,2,26
3/1/23,3/31/23,4.98,4.65,3,27
4/1/23,4/30/23,4.93,4.83,4,28
5/1/23,5/31/23,4.05,5.06,5,29
6/1/23,6/30/23,2.97,5.08,6,30
7/1/23,7/31/23,3.18,5.12,7,31
8/1/23,8/31/23,3.67,5.33,8,32
9/1/23,9/30/23,3.7,5.33,9,33
10/1/23,10/31/23,3.24,5.33,10,34
11/1/23,11/30/23,3.14,5.33,11,35
12/1/23,12/31/23,3.35,5.33,12,36
1/1/24,1/31/24,3.09,5.33,1,37
2/1/24,2/29/24,3.1,5.33,2,38